"IDENTIFICADOR_NOTA_FISCAL";"NUMERO_ITEM";"CODIGO_PRODUTO";"QUANTIDADE";"VALOR_UNITARIO";"VALOR_TOTAL"
1477875293;2;96383;1;2.59;2.59
1477875294;6;16932;1;15.18;15.18
1477875294;7;49574;1;2.86;2.86
1477875294;2;15827;1;36.73;36.73
1477875294;3;15827;1;36.73;36.73
1477875294;9;49574;1;2.86;2.86
1477875294;8;49574;1;2.86;2.86
1477875294;4;68727;1;45.43;45.43
1477875294;1;68959;1;42.59;42.59
1477875294;10;59393;3;4.99;14.97
1477875294;5;60208;1;159.9;159.9
1477875295;2;73099;1;29.92;29.92
1477875295;1;45434;1;29.9;29.9
1477875296;1;36497;1;5.17;5.17
1477875297;1;45086;1;11.48;11.48
1477875298;1;43178;1;12.49;12.49
1477875298;4;96345;2;5.89;11.78
1477875298;5;93026;2;5.89;11.78
1477875298;2;8393;1;17.87;17.87
1477875298;3;10919;2;5.89;11.78
1477875299;2;74599;1;19.62;19.62
1477875299;8;68174;1;24.36;24.36
1477875299;6;74032;1;7.7;7.7
1477875299;1;74599;1;19.62;19.62
1477875299;4;74032;1;7.7;7.7
1477875299;5;74032;1;7.7;7.7
1477875299;3;74599;1;19.62;19.62
1477875299;7;21432;1;12.35;12.35
1477875300;1;90146;1;33.9;33.9
1477875300;2;35047;1;16.99;16.99
1477875300;3;25274;1;11.74;11.74
1477875301;2;20233;1;47.44;47.44
1477875301;3;28060;1;25.34;25.34
1477875301;1;37952;1;12.99;12.99
1477875302;1;48550;1;11.77;11.77
1477875302;2;28356;1;13.19;13.19
1477875302;3;30274;1;7.99;7.99
1477875303;1;47373;1;52.94;52.94
1477875303;2;89327;1;8.8;8.8
1477875304;1;49624;1;10.59;10.59
1477875304;2;49623;1;10.59;10.59
1477875304;3;43407;1;18.9;18.9
1477875304;4;46027;1;10.1;10.1
1477875305;3;6537;1;11.08;11.08
1477875305;1;91368;1;7.89;7.89
1477875305;2;49492;1;2.83;2.83
1477875306;2;61045;1;11.12;11.12
1477875306;1;37965;1;14.79;14.79
1477875308;1;937;1;18.9;18.9
1477875309;3;11784;1;2.56;2.56
1477875309;1;11784;1;2.56;2.56
1477875309;2;11784;1;2.56;2.56
1477875310;1;62372;1;6.04;6.04
1477875310;2;40858;1;19.99;19.99
1477875311;1;34927;1;15;15
1477875311;2;34927;1;15;15
1477875314;3;24741;1;8.48;8.48
1477875314;1;29108;1;39.49;39.49
1477875314;2;42663;1;27.58;27.58
1477875315;3;57132;1;59.2;59.2
1477875315;8;31619;1;10.19;10.19
1477875315;2;23896;1;11.6;11.6
1477875315;7;24054;1;4.34;4.34
1477875315;10;12070;1;10.93;10.93
1477875315;4;9101;1;4.98;4.98
1477875315;9;12070;1;10.93;10.93
1477875315;1;42607;1;18.99;18.99
1477875315;6;21973;1;5.59;5.59
1477875315;5;8393;1;16.29;16.29
1477875315;11;67438;1;17.59;17.59
1477875315;12;58024;1;39.9;39.9
1477875316;2;65165;1;13.96;13.96
1477875316;5;20686;1;7.45;7.45
1477875316;3;35037;1;3.29;3.29
1477875316;1;14739;1;4.49;4.49
1477875316;4;20686;1;7.45;7.45
1477875318;2;61037;1;11.99;11.99
1477875318;1;61035;1;11.99;11.99
1477875319;1;80337;1;61.12;61.12
1477875320;1;45622;1;9.6;9.6
1477875321;1;16740;1;33.44;33.44
1477875322;1;96442;1;65.86;65.86
1477875323;3;75912;1;19.73;19.73
1477875323;2;53405;1;24.75;24.75
1477875323;1;48029;1;13.9;13.9
1477875323;4;75912;1;19.73;19.73
1477875324;3;99824;1;12.05;12.05
1477875324;1;16497;1;31;31
1477875324;2;99824;1;12.05;12.05
1477875325;1;35814;1;4.99;4.99
1477875326;2;52083;1;11.82;11.82
1477875326;3;14982;1;13.9;13.9
1477875326;1;65519;1;53.9;53.9
1477875327;2;28672;1;5.45;5.45
1477875327;1;74067;1;8.17;8.17
1477875328;2;24590;1;10.87;10.87
1477875328;3;38417;1;35;35
1477875328;1;24590;1;10.87;10.87
1477875330;3;84192;1;23.19;23.19
1477875330;1;76449;6;1.85;11.1
1477875330;2;23960;1;16.64;16.64
1477875332;2;23063;1;10.39;10.39
1477875332;3;23063;1;10.39;10.39
1477875332;1;23063;1;10.39;10.39
1477875332;4;23063;1;10.39;10.39
1477875334;4;28434;1;14.61;14.61
1477875334;3;28434;1;14.61;14.61
1477875334;1;28434;1;14.61;14.61
1477875334;2;28434;1;14.61;14.61
1477875335;1;37282;1;19.2;19.2
1477875335;3;37282;1;19.2;19.2
1477875335;2;37282;1;19.2;19.2
1477875336;1;73333;1;35.23;35.23
1477875337;1;50199;1;11.17;11.17
1477875338;2;10274;1;39.9;39.9
1477875338;1;59481;1;22.08;22.08
1477875340;3;67068;1;28.55;28.55
1477875340;4;66893;1;27.19;27.19
1477875340;2;2642;1;14.22;14.22
1477875340;1;23566;1;22;22
1477875341;1;39211;1;39.99;39.99
1477875342;4;61045;1;11.12;11.12
1477875342;1;63229;1;32.9;32.9
1477875342;3;5216;1;9.69;9.69
1477875342;2;22090;1;7.84;7.84
1477875343;1;12595;1;69.99;69.99
1477875344;1;10715;1;22.46;22.46
1477875347;2;24133;1;8.91;8.91
1477875347;1;34606;1;3.8;3.8
1477875351;5;37965;1;17.89;17.89
1477875351;4;11360;1;7.19;7.19
1477875351;6;61948;1;3.19;3.19
1477875351;1;29203;1;4.69;4.69
1477875351;3;37372;1;4.5;4.5
1477875351;2;29203;1;4.69;4.69
1477875351;7;61528;1;3.16;3.16
1477875352;1;16202;1;25.04;25.04
1477875354;1;37926;1;6.99;6.99
1477875355;2;30310;1;14.99;14.99
1477875355;1;80729;1;21.39;21.39
1477875355;4;51806;1;5.99;5.99
1477875355;3;27239;1;2.9;2.9
1477875356;2;83119;1;3.73;3.73
1477875356;1;36208;1;9.68;9.68
1477875357;2;59313;2;5.89;11.78
1477875357;7;69560;1;6.56;6.56
1477875357;3;30310;1;14.99;14.99
1477875357;4;53409;1;32.44;32.44
1477875357;8;72636;1;3.77;3.77
1477875357;5;53409;1;32.44;32.44
1477875357;1;293;1;55.49;55.49
1477875357;6;36019;3;38.98;116.94
1477875358;1;59313;1;5.89;5.89
1477875359;1;16114;1;10.99;10.99
1477875360;3;23433;1;8.95;8.95
1477875360;2;23433;1;8.95;8.95
1477875360;4;23433;1;8.95;8.95
1477875360;1;23433;1;8.95;8.95
1477875361;5;30100;1;12.32;12.32
1477875361;2;22639;1;8.89;8.89
1477875361;1;57353;1;16.99;16.99
1477875361;6;12632;1;5.88;5.88
1477875361;7;36516;1;50.4;50.4
1477875361;8;36516;1;50.4;50.4
1477875361;4;29979;1;15.99;15.99
1477875361;3;22639;1;8.89;8.89
